Group ID,Family,Channel,Product,Normalized Specification,Dosage Form,Current Retail Price,Price Display,Planned Catalog Status,Recommended Action,Selected Supplier,Quality / Regulatory Notes
GRP-0011,503A Clinical Formulations,Clinical / Provider Only,Ascorbic Acid,ASCORBIC ACID 500MG/ML INJ. (30ML),Injectable Solution,112.5,$112.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0012,503A Clinical Formulations,Clinical / Provider Only,BPC-157,BPC-157 3MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0013,503A Clinical Formulations,Clinical / Provider Only,BPC-157,BPC-157 500MCG CAPSULE,Capsule,6.25,$6.25,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0014,503A Clinical Formulations,Clinical / Provider Only,BPC-157 + KPV,BPC-157/KPV 500MCG-500MCG CAPSULE,Capsule,11.25,$11.25,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0015,503A Clinical Formulations,Clinical / Provider Only,BPC-157 + TB-500 + KPV + GHK-Cu 3-3-3-10Mg + Ml (5Ml),BPC-157/TB500/KPV/GHK-CU 3-3-3-10MG/ML (5ML),Compounded Vial / Liquid,300,$300.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0016,503A Clinical Formulations,Clinical / Provider Only,BPC-157 + TB-500 + KPV 3-3-3Mg + Ml (No Copper) (5Ml),BPC-157/TB500/KPV 3-3-3MG/ML (NO COPPER) (5ML),Compounded Vial / Liquid,300,$300.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0017,503A Clinical Formulations,Clinical / Provider Only,BPC-157 + TB-500 3-3Mg + Ml (5Ml),BPC-157/TB500 3-3MG/ML (5ML),Compounded Vial / Liquid,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0018,503A Clinical Formulations,Clinical / Provider Only,BRANCHED CHAIN AMINO ACIDS (BCAA),Branched Chain Amino Acids (BCAA) ILE(0.4g) / L(0.3g) / V(1.2g) (30ml),Compounded Vial / Liquid,124.5,$124.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0019,503A Clinical Formulations,Clinical / Provider Only,Benzocaine,BENZOCAINE 20% / LIDOCAINE 10% / TETRACAINE 10% TOPICAL CREAM 60ML PUMP,Topical Cream,112.5,$112.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0020,503A Clinical Formulations,Clinical / Provider Only,Bi-Est,BI-EST 1.25MG (80/20) CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0021,503A Clinical Formulations,Clinical / Provider Only,Bi-Est,BI-EST 2.5MG (80/20) CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0022,503A Clinical Formulations,Clinical / Provider Only,Bi-Est,BI-EST 5MG (50/50) CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0023,503A Clinical Formulations,Clinical / Provider Only,Bi-Est,BI-EST 5MG (80/20) CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0024,503A Clinical Formulations,Clinical / Provider Only,Bi-Est,BI-EST 6MG (80/20) CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0025,503A Clinical Formulations,Clinical / Provider Only,Bi-Est (80 + 20),BI-EST (80/20) 2MG/ML CREAM,Topical Cream,112.5,$112.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0026,503A Clinical Formulations,Clinical / Provider Only,Bi-Est (80 + 20),BI-EST (80/20) 3MG/ML CREAM,Topical Cream,112.5,$112.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0027,503A Clinical Formulations,Clinical / Provider Only,Bi-Pro-Test Cream,BI-PRO-TEST CREAM 0.25MG/100MG/0.25MG/GM,Topical Cream,162.5,$162.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0028,503A Clinical Formulations,Clinical / Provider Only,Bi-Pro-Test Cream,BI-PRO-TEST CREAM 0.25MG/100MG/1MG/GM,Topical Cream,162.5,$162.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0029,503A Clinical Formulations,Clinical / Provider Only,Biotin,BIOTIN 10MG/ML (10ML),Compounded Vial / Liquid,162.5,$162.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0030,503A Clinical Formulations,Clinical / Provider Only,CASHMERE CREAM,CASHMERE CREAM (GHK-CU 3% / NIACINAMIDE 4%) 30GM,Topical Cream,112.5,$112.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0031,503A Clinical Formulations,Clinical / Provider Only,CJC-1295 + Ipamorelin 2-2Mg + Ml (5Ml),CJC-1295/IPAMORELIN 2-2MG/ML (5ML),Compounded Vial / Liquid,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0032,503A Clinical Formulations,Clinical / Provider Only,Cabergoline Tablets,CABERGOLINE TABLETS 0.5MG,Tablet,8.75,$8.75,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0033,503A Clinical Formulations,Clinical / Provider Only,"Cartalax (Aed, T-31)","CARTALAX (AED, t-31) 4MG/ML (5ML)",Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0034,503A Clinical Formulations,Clinical / Provider Only,Clomiphene,CLOMIPHENE 25MG CAPSULE,Capsule,1.875,$1.88,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0035,503A Clinical Formulations,Clinical / Provider Only,Clomiphene,CLOMIPHENE 50MG CAPSULE,Capsule,3.75,$3.75,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0036,503A Clinical Formulations,Clinical / Provider Only,Dhea,DHEA 100MG CAPSULE,Capsule,2.625,$2.62,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0037,503A Clinical Formulations,Clinical / Provider Only,Dhea,DHEA 25MG CAPSULE,Capsule,2.375,$2.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0038,503A Clinical Formulations,Clinical / Provider Only,Dhea,DHEA 50MG CAPSULE,Capsule,2.5,$2.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0039,503A Clinical Formulations,Clinical / Provider Only,Dihexa,DIHEXA 25MG CAPSULE,Capsule,34.375,$34.38,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0040,503A Clinical Formulations,Clinical / Provider Only,Dihexa,DIHEXA 5MG CAPSULE,Capsule,8.75,$8.75,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0041,503A Clinical Formulations,Clinical / Provider Only,Dsip,DSIP 2MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0042,503A Clinical Formulations,Clinical / Provider Only,Elamipretide (Ss31),ELAMIPRETIDE (SS31) 15MG/ML (5ML),Compounded Vial / Liquid,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0043,503A Clinical Formulations,Clinical / Provider Only,Enclomiphene,ENCLOMIPHENE 12.5MG CAPSULE,Capsule,2.5,$2.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0044,503A Clinical Formulations,Clinical / Provider Only,Enclomiphene,ENCLOMIPHENE 25MG CAPSULE,Capsule,6.25,$6.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0045,503A Clinical Formulations,Clinical / Provider Only,Enclomiphene,ENCLOMIPHENE 50MG CAPSULE,Capsule,9.375,$9.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0046,503A Clinical Formulations,Clinical / Provider Only,Epithalon,EPITHALON 10MG/ML (5ML),Compounded Vial / Liquid,325,$325.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0047,503A Clinical Formulations,Clinical / Provider Only,Epithalon,EPITHALON 2MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0048,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 0.25MG CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0049,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 0.5MG TABLET,Tablet,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0050,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 0.75MG CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0051,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 1.25MG CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0052,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 1.5MG CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0053,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 1.75MG CAPSULE,Capsule,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0054,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 10MG/ML CREAM,Topical Cream,100,$100.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0055,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 1MG TABLET,Tablet,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0056,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 2MG TABLET,Tablet,1.25,$1.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0057,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 4MG/ML CREAM,Topical Cream,75,$75.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0058,503A Clinical Formulations,Clinical / Provider Only,Estradiol,ESTRADIOL 6MG/ML CREAM,Topical Cream,87.5,$87.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0059,503A Clinical Formulations,Clinical / Provider Only,Finasteride Tablet,FINASTERIDE TABLET 1MG,Tablet,2,$2.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0060,503A Clinical Formulations,Clinical / Provider Only,Finasteride Tablet,FINASTERIDE TABLET 5MG,Tablet,2.5,$2.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0061,503A Clinical Formulations,Clinical / Provider Only,Foxo4-Dri,FOXO4-DRI 2MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0062,503A Clinical Formulations,Clinical / Provider Only,GHK-Cu,GHK-CU 1% HAIR RESTORATION SOLUTION 30ML,Solution,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0063,503A Clinical Formulations,Clinical / Provider Only,GHK-Cu,GHK-CU 10MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0064,503A Clinical Formulations,Clinical / Provider Only,GHK-Cu + Epithalon 10-2Mg + Ml (5Ml),GHK-CU/EPITHALON 10-2MG/ML (5ML),Compounded Vial / Liquid,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0065,503A Clinical Formulations,Clinical / Provider Only,"GHK-Cu + Snap 8 Biocosmetic, Cream (GHK-Cu","GHK-CU + SNAP 8 BIOCOSMETIC, CREAM (GHK-CU 3% / ESTRIOL 0.3% / SNAP-8 1%) 30GM",Topical Cream,300,$300.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0066,503A Clinical Formulations,Clinical / Provider Only,"GHK-Cu + Snap 8 Serum, Gel (GHK-Cu","GHK-CU + SNAP 8 SERUM, GEL (GHK-CU 3% / SNAP-8 1% / NIACINAMIDE 3%) 30ML",Topical Gel / Serum,350,$350.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0067,503A Clinical Formulations,Clinical / Provider Only,"GHK-Cu Biocosmetic, Cream (GHK-Cu","GHK-CU BIOCOSMETIC, CREAM (GHK-CU 3% / ESTRIOL 0.3%) 30GM",Topical Cream,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
