source_row_id,canonical_product_id,canonical_product,exact_variant_id,exact_sku,exact_strength,exact_presentation,planned_price_cents,currency,truth_state,website_action,public_visibility,checkout_eligible,candidate_disposition,blocker_codes
11,PEP-009,NAD+ Research Material,R360-NAD-500MG-VIAL,R360-NAD-500MG-VIAL,500 mg,Vial,9900,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
12,PEP-009,NAD+ Research Material,R360-NAD-1000MG-VIAL,R360-NAD-1000MG-VIAL,1000 mg,Vial,18900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
13,PEP-010,MOTS-C Research Material,R360-MOTSC-10MG-VIAL,R360-MOTSC-10MG-VIAL,10 mg,Vial,8900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
14,PEP-010,MOTS-C Research Material,R360-MOTSC-40MG-VIAL,R360-MOTSC-40MG-VIAL,40 mg,Vial,21500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
15,PEP-011,Epithalon Research Material,R360-EPITHALON-10MG-VIAL,R360-EPITHALON-10MG-VIAL,10 mg,Vial,10000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
16,PEP-011,Epithalon Research Material,R360-EPITHALON-100MG-VIAL,R360-EPITHALON-100MG-VIAL,100 mg,Vial,15000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
17,PEP-012,SS-31 Research Material,R360-SS31-10MG-VIAL,R360-SS31-10MG-VIAL,10 mg,Vial,19500,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
18,PEP-012,SS-31 Research Material,R360-SS31-50MG-VIAL,R360-SS31-50MG-VIAL,50 mg,Vial,26500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
19,PEP-013,SLU-PP-332 Research Capsules,R360-SLUPP332-250MCGX100-CAP,R360-SLUPP332-250MCGX100-CAP,250 mcg,Capsule bottle,21500,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
20,PEP-014,Dihexa Research Capsules,R360-DIHEXA-10MGX60-CAP,R360-DIHEXA-10MGX60-CAP,10 mg,Capsule bottle,26000,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_strength_documentation_pending|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
21,PEP-015,Semax + Selank + DSIP Research Blend,R360-SEMAX_SELANK_DSIP-10MG_10MG_2MG-VIAL,R360-SEMAX_SELANK_DSIP-10MG_10MG_2MG-VIAL,10 mg / 10 mg / 2 mg,Vial,21500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
22,PEX-001,BPC-157 Research Material,R360-BPC157-10MG-VIAL,R360-BPC157-10MG-VIAL,10 mg,Vial,9900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
23,PEX-001,BPC-157 Research Material,R360-BPC157-20MG-VIAL,R360-BPC157-20MG-VIAL,20 mg,Vial,18000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
24,PEX-002,TB-500 Research Material,R360-TB500-10MG-VIAL,R360-TB500-10MG-VIAL,10 mg,Vial,16500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
25,PEX-003,GHK-Cu Research Material,R360-GHKCU-100MG-VIAL,R360-GHKCU-100MG-VIAL,100 mg,Vial,5900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
26,PEX-004,KPV Research Material,R360-KPV-10MG-VIAL,R360-KPV-10MG-VIAL,10 mg,Vial,9900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
27,PEX-005,Semax Research Material,R360-SEMAX-10MG-VIAL,R360-SEMAX-10MG-VIAL,10 mg,Vial,5900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
28,PEX-005,Semax Research Material,R360-SEMAX-30MG-VIAL,R360-SEMAX-30MG-VIAL,30 mg,Vial,20000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
29,PEX-006,Selank Research Material,R360-SELANK-10MG-VIAL,R360-SELANK-10MG-VIAL,10 mg,Vial,5900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
30,PEX-007,DSIP Research Material,R360-DSIP-15MG-VIAL,R360-DSIP-15MG-VIAL,15 mg,Vial,14000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
31,PEX-008,Thymosin Alpha-1 Research Material,R360-THYMOSINALPHA1-10MG-VIAL,R360-THYMOSINALPHA1-10MG-VIAL,10 mg,Vial,10900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
32,PEX-009,Ipamorelin Research Material,R360-IPAMORELIN-10MG-VIAL,R360-IPAMORELIN-10MG-VIAL,10 mg,Vial,8900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
33,PEX-010,5-Amino-1MQ Research Material,R360-5AMINO1MQ-5MG-VIAL,R360-5AMINO1MQ-5MG-VIAL,5 mg,Vial,15000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
34,PEX-010,5-Amino-1MQ Research Material,R360-5AMINO1MQ-50MG-VIAL,R360-5AMINO1MQ-50MG-VIAL,50 mg,Vial,33000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
35,PEX-011,Adamax Research Material,R360-ADAMAX-10MG-VIAL,R360-ADAMAX-10MG-VIAL,10 mg,Vial,12500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
36,PEX-012,AOD-9604 Research Material,R360-AOD9604-5MG-VIAL,R360-AOD9604-5MG-VIAL,5 mg,Vial,8900,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
37,PEX-012,AOD-9604 Research Material,R360-AOD9604-10MG-VIAL,R360-AOD9604-10MG-VIAL,10 mg,Vial,19000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
38,PEX-013,CJC-1295 with DAC Research Material,R360-CJC1295DAC-5MG-VIAL,R360-CJC1295DAC-5MG-VIAL,5 mg,Vial,16500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
39,PEX-014,Follistatin Research Material,R360-FOLLISTATIN-1MG-VIAL,R360-FOLLISTATIN-1MG-VIAL,1 mg,Vial,23000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
40,PEX-015,Glutathione Research Material,R360-GLUTATHIONE-600MG-VIAL,R360-GLUTATHIONE-600MG-VIAL,600 mg,Vial,14000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
41,PEX-015,Glutathione Research Material,R360-GLUTATHIONE-1500MG-VIAL,R360-GLUTATHIONE-1500MG-VIAL,1500 mg,Vial,19000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
42,PEX-016,HCG Research Material,R360-HCG-5000IU-VIAL,R360-HCG-5000IU-VIAL,5000 IU,Vial,15000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
43,PEX-017,IGF-1 LR3 Research Material,R360-IGF1LR3-0P1MG-VIAL,R360-IGF1LR3-0P1MG-VIAL,0.1 mg,Vial,7500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
44,PEX-017,IGF-1 LR3 Research Material,R360-IGF1LR3-1MG-VIAL,R360-IGF1LR3-1MG-VIAL,1 mg,Vial,16500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
