"Scenario ID","CTA/journey IDs","environment/build","identity","token state","data/availability state","viewport/browser","steps","expected outcome","actual outcome","request/result evidence","stored/event reference","screenshot/trace references","status","limitation","finding ID","retest build/result","provenance"
"S018","Corporate contact regression","CAPTURE REPAIR 02d525b","audit@example.invalid","none","synthetic provider acceptance","Chrome; viewport not recorded","Fill corporate contact > send","Shared route still functions","Success shown; fixed two-day promise remains","repair-corporate-contact-accepted.txt","Synthetic acceptance IDs","DOM snapshot","PASS BOUNDED","Operational deadline unsupported by this audit","AUD-004 candidate","02d525b","Historical evidence; see environment/build and original receipt"
"S019","Public lot and accessibility policy","LOCAL REPAIR 02d525b","signed out","none","public source unavailable; draft policy","Chrome; viewport not recorded","Verify synthetic lot; open accessibility policy","No invented lot absence or conformance","Unavailable and draft status explicit","public-lot-fixture-lookup-result.txt; public-accessibility-policy.txt","none","DOM snapshots","PASS BOUNDED","No actual approved lot fixture or conformance assessment","","02d525b","Historical evidence; see environment/build and original receipt"
"B001","Token lifecycles","NOT RUN","missing fixtures","valid expired consumed approved recovery-purpose","not available","NOT RUN","Requires issued isolated tokens","Owner/purpose/lifetime enforced","NOT RUN","none","none","none","BLOCKED","No production-equivalent isolated token fixture supplied","","NOT RUN","Historical evidence; see environment/build and original receipt"
"B002","Cross-owner histories/documents","NOT RUN","isolated owner pairs needed","authenticated","matching records needed","NOT RUN","Attempted second fixture account navigation lost tab","No cross-owner disclosure","No result claimed","none","none","none","NOT RUN","Existing narrow fixture and interrupted navigation do not establish isolation","","NOT RUN","Historical evidence; see environment/build and original receipt"
"B003","Payment fulfillment partner supplier Care admin lifecycles","NOT RUN","authorized isolated roles needed","authenticated","production-equivalent states needed","NOT RUN","Mutate only controlled fixtures","Truthful state transitions and notifications","NOT RUN","none","none","none","BLOCKED","No complete isolated backend fixture for these doors; no real mutations allowed","","NOT RUN","Historical evidence; see environment/build and original receipt"
"B004","All CTA keyboard zoom network retry and duplicates","PARTIAL","multiple personas","multiple states","multiple states","PARTIAL","Complete remaining action-state coverage","Every meaningful action qualified","Inventory substantially exceeds exercised actions","ROUTE_AND_CTA_MATRIX.csv","none","Partial screenshot sample only","NOT RUN","Coverage gap remains; not an access-only blocker","","NOT RUN","Historical evidence; see environment/build and original receipt"
"B005","Real notification delivery/replay","NOT RUN","approved sink required","not applicable","provider capture needed","NOT RUN","Observe accepted event through delivery and retry","No false stage claims or duplicate mail","Only local synthetic acceptance observed","synthetic-contact-log.txt","Synthetic only","none","BLOCKED","No approved external delivery sink; no real test messages sent","","NOT RUN","Historical evidence; see environment/build and original receipt"
"R001","Cross-owner order denied","LOCAL 02d525b UI; unchanged native guard/order source at c4ea8a9","synthetic only","See evidence","Isolated fixture","See evidence","Cross-owner order denied","See scenario receipt","See scenario receipt","evidence/resume-cross-owner-denial.txt","See fixture receipt","evidence/resume-cross-owner-denial.txt","PASS","No production RLS claim","","Current continuation","native real guard/service; synthetic owners and memory order"
"R002","Correct owner sees seeded order","LOCAL 02d525b UI; unchanged native guard/order source at c4ea8a9","synthetic only","See evidence","Isolated fixture","See evidence","Correct owner sees seeded order","See scenario receipt","See scenario receipt","evidence/resume-owner-positive.txt","See fixture receipt","evidence/resume-owner-positive.txt","PASS","One seeded order","","Current continuation","native real guard/service; synthetic owner"
"R003","Admin starts processing","LOCAL 02d525b UI; unchanged native guard/order source at c4ea8a9","synthetic only","See evidence","Isolated fixture","See evidence","Admin starts processing","See scenario receipt","See scenario receipt","evidence/resume-admin-processing.txt","See fixture receipt","evidence/resume-admin-processing.txt","PASS","No physical fulfillment","","Current continuation","native real admin guard/order service"
"R004","Admin records tracking","LOCAL 02d525b UI; unchanged native guard/order source at c4ea8a9","synthetic only","See evidence","Isolated fixture","See evidence","Admin records tracking","See scenario receipt","See scenario receipt","evidence/resume-admin-tracking.txt","See fixture receipt","evidence/resume-admin-tracking.txt","PASS","Synthetic tracking only","","Current continuation","native real admin guard/order service"
"R005","Admin marks order shipped","LOCAL 02d525b UI; unchanged native guard/order source at c4ea8a9","synthetic only","See evidence","Isolated fixture","See evidence","Admin marks order shipped","See scenario receipt","See scenario receipt","evidence/resume-admin-shipped.txt","See fixture receipt","evidence/resume-admin-shipped.txt","PASS","Order-level transition; package row not qualified","","Current continuation","native real admin guard/order service"
"R006","Valid signed status token","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Valid signed status token","See scenario receipt","See scenario receipt","evidence/resume-valid-status.txt","See fixture receipt","evidence/resume-valid-status.txt","PASS","Read-only status fixture","","Current continuation","actual HMAC/status route; synthetic row"
"R007","Expired signed status token","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Expired signed status token","See scenario receipt","See scenario receipt","evidence/resume-expired-status.txt","See fixture receipt","evidence/resume-expired-status.txt","PASS","No external recovery delivery","","Current continuation","actual HMAC/status route; synthetic row"
"R008","Approved status controls","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Approved status controls","See scenario receipt","See scenario receipt","evidence/resume-approved-status.txt","See fixture receipt","evidence/resume-approved-status.txt","PASS","Claim submission not executed in browser","","Current continuation","actual status projection; synthetic approved row"
"R009","Active account status controls","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Active account status controls","See scenario receipt","See scenario receipt","evidence/resume-active-status.txt","See fixture receipt","evidence/resume-active-status.txt","PASS","Seeded active state, not a claim-consumption event","","Current continuation","actual status projection; synthetic active row"
"R010","Courtesy stall preserves accepted result","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Courtesy stall preserves accepted result","See scenario receipt","See scenario receipt","evidence/resume-courtesy-stall.txt","See fixture receipt","evidence/resume-courtesy-stall.txt","PASS","Team accepted, courtesy bounded at 2 seconds","","Current continuation","actual bundle; isolated provider capture"
"R011","Team provider timeout bounded","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Team provider timeout bounded","See scenario receipt","See scenario receipt","evidence/resume-team-timeout.txt","See fixture receipt","evidence/resume-team-timeout.txt","PASS","Unknown acceptance; draft retained; 10-second bound","","Current continuation","actual bundle; isolated provider capture"
"R012","Provider response lost after acceptance","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Provider response lost after acceptance","See scenario receipt","See scenario receipt","evidence/resume-provider-response-lost.txt","See fixture receipt","evidence/resume-provider-response-lost.txt","PASS","Receipt unknown, not definitive failure","","Current continuation","actual bundle; isolated provider capture"
"R013","Provider retry replays acceptance","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Provider retry replays acceptance","See scenario receipt","See scenario receipt","evidence/resume-provider-retry-accepted.txt","See fixture receipt","evidence/resume-provider-retry-accepted.txt","PASS","Unchanged payload; no second team acceptance","","Current continuation","actual bundle; isolated provider capture"
"R014","Browser response lost after acceptance","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Browser response lost after acceptance","See scenario receipt","See scenario receipt","evidence/resume-browser-response-lost.txt","See fixture receipt","evidence/resume-browser-response-lost.txt","PASS","Response blocked after provider acceptance","","Current continuation","actual bundle; CDP response interruption; capture"
"R015","Retry rate limit retains draft","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Retry rate limit retains draft","See scenario receipt","See scenario receipt","evidence/resume-retry-throttled.txt","See fixture receipt","evidence/resume-retry-throttled.txt","PASS","Existing 5 per 10-minute limit","","Current continuation","actual route rate limit; isolated capture"
"R016","Browser retry accepted without duplicate","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Browser retry accepted without duplicate","See scenario receipt","See scenario receipt","evidence/resume-browser-response-retry-accepted.txt","See fixture receipt","evidence/resume-browser-response-retry-accepted.txt","PASS","Both email keys replay; no new acceptance","","Current continuation","actual bundle; isolated provider replay"
"R017","Canonical documents sign-in return","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Canonical documents sign-in return","See scenario receipt","See scenario receipt","evidence/resume-secure-documents-return.txt","See fixture receipt","evidence/resume-secure-documents-return.txt","PASS","Signed-out gate only","","Current continuation","actual c4ea8a9 browser bundle"
"R018","Mobile validation and keyboard focus","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Mobile validation and keyboard focus","See scenario receipt","See scenario receipt","evidence/resume-mobile-inquiry-validation.txt","See fixture receipt","evidence/resume-mobile-inquiry-validation.txt","PASS","390px sampled inquiry flow","","Current continuation","actual c4ea8a9 browser bundle"
"R019","Responsive 390/768/1440","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Responsive 390/768/1440","See scenario receipt","See scenario receipt","evidence/resume-responsive.json","See fixture receipt","evidence/resume-responsive.json","PASS","Inquiry page sample, not all routes","","Current continuation","actual c4ea8a9 browser bundle"
"R020","Slow-network pending state","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Slow-network pending state","See scenario receipt","See scenario receipt","evidence/resume-slow-inquiry-pending.txt","See fixture receipt","evidence/resume-slow-inquiry-pending.txt","PASS","Submitting disabled; retained draft","","Current continuation","CDP 800ms latency and bandwidth limits"
"R021","Slow-network completion","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Slow-network completion","See scenario receipt","See scenario receipt","evidence/resume-slow-inquiry-accepted.txt","See fixture receipt","evidence/resume-slow-inquiry-accepted.txt","PASS","Acceptance only","","Current continuation","actual bundle; isolated provider capture"
"R022","Duplicate inquiry replay","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Duplicate inquiry replay","See scenario receipt","See scenario receipt","evidence/resume-duplicate-inquiry.txt","See fixture receipt","evidence/resume-duplicate-inquiry.txt","PASS","No duplicate captured acceptance","","Current continuation","actual bundle; isolated provider capture"
"R023","200 percent visual scale","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","200 percent visual scale","See scenario receipt","See scenario receipt","evidence/resume-visual-zoom-200.png","See fixture receipt","evidence/resume-visual-zoom-200.png","PASS","Pinch-style scale, not desktop CSS reflow","","Current continuation","CDP page visual scale"
"R024","Desktop browser zoom qualification","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Desktop browser zoom qualification","See scenario receipt","See scenario receipt","evidence/resume-desktop-zoom-attempt.txt","See fixture receipt","evidence/resume-desktop-zoom-attempt.txt","NOT RUN","Keyboard shortcut did not change measured width or pixel ratio; no 200-percent reflow claim","","Current continuation","browser keyboard attempt and DOM measurements"
"R025","Second owner history isolated","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Second owner history isolated","See scenario receipt","See scenario receipt","evidence/resume-other-owner-history.txt","See fixture receipt","evidence/resume-other-owner-history.txt","PASS","No seeded order or assisted requests visible; unavailable sources disclosed","","Current continuation","real account/history projection and guard; native synthetic rows"
"R026","Correct owner history visible","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Correct owner history visible","See scenario receipt","See scenario receipt","evidence/resume-correct-owner-history.txt","See fixture receipt","evidence/resume-correct-owner-history.txt","PASS","One order and two assisted requests; no production RLS claim","","Current continuation","real account/history projection and guard; native synthetic rows"
"R027","Interrupted tab session recovers","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Interrupted tab session recovers","See scenario receipt","See scenario receipt","evidence/resume-session-reopened.txt","See fixture receipt","evidence/resume-session-reopened.txt","PASS","Close tab and cold reopen retains authorized owner history","","Current continuation","native synthetic session; real account gate"
"R028","Explicit sign-out revokes cold access","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Explicit sign-out revokes cold access","See scenario receipt","See scenario receipt","evidence/resume-session-revoked.txt","See fixture receipt","evidence/resume-session-revoked.txt","PASS","Cold account navigation returns to sign-in","","Current continuation","native synthetic session; real account gate"
"R029","Status-purpose cannot claim","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Status-purpose cannot claim","See scenario receipt","See scenario receipt","evidence/sql-claims-qualification.json","See fixture receipt","evidence/sql-claims-qualification.json","PASS","401; no membership grant","","Current continuation","real HTTP token validator and production dependency; actual local SQL"
"R030","Expired claim cannot grant access","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Expired claim cannot grant access","See scenario receipt","See scenario receipt","evidence/sql-claims-qualification.json","See fixture receipt","evidence/sql-claims-qualification.json","PASS","401 even with correctly signed expired token","","Current continuation","real signed-token validator and actual local SQL"
"R031","Recovery-purpose session cannot claim","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Recovery-purpose session cannot claim","See scenario receipt","See scenario receipt","evidence/sql-claims-qualification.json","See fixture receipt","evidence/sql-claims-qualification.json","PASS","409; provider session is synthetic, exact-match verified","","Current continuation","real production verifySignIn and actual local SQL"
"R032","Different signed-in owner cannot claim","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Different signed-in owner cannot claim","See scenario receipt","See scenario receipt","evidence/sql-claims-qualification.json","See fixture receipt","evidence/sql-claims-qualification.json","PASS","409; no foreign grant","","Current continuation","real claim ownership check and actual local SQL"
"R033","Approved owner claims in browser","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Approved owner claims in browser","See scenario receipt","See scenario receipt","evidence/sql-claim-after.txt","See fixture receipt","evidence/sql-claim-after.txt","PASS","One local active member; billing remains not_started","","Current continuation","actual SPA, member claim route, production dependency and candidate SQL"
"R034","Consumed claim replay is idempotent","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Consumed claim replay is idempotent","See scenario receipt","See scenario receipt","evidence/sql-claims-qualification.json","See fixture receipt","evidence/sql-claims-qualification.json","PASS","One member and one welcome event; no duplicate","","Current continuation","actual HTTP claim route and SQL replay"
"R035","Normal member denied admin approval","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Normal member denied admin approval","See scenario receipt","See scenario receipt","evidence/sql-admin-approval.json","See fixture receipt","evidence/sql-admin-approval.json","PASS","403; browser roles cannot grant admin","","Current continuation","canonical requireSupabaseAdmin and actual SQL"
"R036","Admin approval queues local claim","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Admin approval queues local claim","See scenario receipt","See scenario receipt","evidence/sql-admin-approval.json","See fixture receipt","evidence/sql-admin-approval.json","PASS","Queued is not delivered","","Current continuation","canonical guard, approval registrar, production dependency and actual SQL"
"R037","Admin approval retry replays","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Admin approval retry replays","See scenario receipt","See scenario receipt","evidence/sql-admin-approval.json","See fixture receipt","evidence/sql-admin-approval.json","PASS","No duplicate approval notification","","Current continuation","actual SQL idempotency behind real admin guard"
"R038","Recovery browser hides claim action","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Recovery browser hides claim action","See scenario receipt","See scenario receipt","evidence/sql-recovery-browser-boundary.txt","See fixture receipt","evidence/sql-recovery-browser-boundary.txt","PASS","Normal sign-in required; no password reset performed","","Current continuation","actual SPA recovery marker and real approved SQL row"
"R039","Consumed claim displays active status","LOCAL c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa","synthetic only","See evidence","Isolated fixture","See evidence","Consumed claim displays active status","See scenario receipt","See scenario receipt","evidence/sql-claim-consumed-status.txt","See fixture receipt","evidence/sql-claim-consumed-status.txt","PASS","No second create-account form","","Current continuation","actual SPA status route after actual SQL claim"
