"CTA ID","environment/build","route","UI location","persona","exact label","likely user expectation","actual destination/action","prerequisites","server write expected/observed","persistence contract","confirmation","notification requirements","operator owner/queue","return/status path","applicable scenario IDs","mobile result","desktop result","evidence","finding IDs"
"CTA-candidate-home-mobile-L46","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/research/activate","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/activate","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L53","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/research/order","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/order","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L60","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/care/schedule","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/care/schedule","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L67","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/research/partners","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/partners","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L74","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/research/organizations","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/organizations","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L81","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/research/supplier-access","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/supplier-access","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L115","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","View Product","Label implies navigation; individual expectation review NOT RUN","/product","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/product","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L157","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Apply for Early Access","Label implies navigation; individual expectation review NOT RUN","/waitlist","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/waitlist","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L159","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","See How It Works","Label implies navigation; individual expectation review NOT RUN","/how-it-works","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/how-it-works","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L167","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","team@xeniostechnology.com","Label implies navigation; individual expectation review NOT RUN","mailto:team@xeniostechnology.com","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","mailto:team@xeniostechnology.com","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L169","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Instagram, @officialxenios","Label implies navigation; individual expectation review NOT RUN","https://www.instagram.com/officialxenios/","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","https://www.instagram.com/officialxenios/","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L171","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","LinkedIn, /company/officialxenios","Label implies navigation; individual expectation review NOT RUN","https://www.linkedin.com/company/officialxenios","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","https://www.linkedin.com/company/officialxenios","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L175","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Product","Label implies navigation; individual expectation review NOT RUN","/product","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/product","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L177","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","How It Works","Label implies navigation; individual expectation review NOT RUN","/how-it-works","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/how-it-works","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L179","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","For Coaches","Label implies navigation; individual expectation review NOT RUN","/for-coaches","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/for-coaches","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L181","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","For Clients","Label implies navigation; individual expectation review NOT RUN","/for-clients","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/for-clients","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L183","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Storefront","Label implies navigation; individual expectation review NOT RUN","/storefront","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/storefront","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L185","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Network","Label implies navigation; individual expectation review NOT RUN","/network","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/network","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L187","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Ecosystem","Label implies navigation; individual expectation review NOT RUN","/ecosystem","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/ecosystem","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L189","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","For Practitioners","Label implies navigation; individual expectation review NOT RUN","/for-practitioners","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/for-practitioners","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L191","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Health","Label implies navigation; individual expectation review NOT RUN","/health","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/health","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L193","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Book a Call","Label implies navigation; individual expectation review NOT RUN","/book","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/book","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L195","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Early Access","Label implies navigation; individual expectation review NOT RUN","/waitlist","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/waitlist","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L197","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Concepts","Label implies navigation; individual expectation review NOT RUN","/concepts","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/concepts","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L201","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Manifesto","Label implies navigation; individual expectation review NOT RUN","/manifesto","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/manifesto","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L203","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","About","Label implies navigation; individual expectation review NOT RUN","/about","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/about","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L205","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Careers","Label implies navigation; individual expectation review NOT RUN","/careers","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/careers","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L207","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Press","Label implies navigation; individual expectation review NOT RUN","/press","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/press","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L209","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Contact","Label implies navigation; individual expectation review NOT RUN","/contact","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/contact","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L213","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Security","Label implies navigation; individual expectation review NOT RUN","/security","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/security","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L215","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Compliance","Label implies navigation; individual expectation review NOT RUN","/compliance","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/compliance","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L217","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Investors","Label implies navigation; individual expectation review NOT RUN","/investors","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/investors","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L219","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","llms.txt","Label implies navigation; individual expectation review NOT RUN","/llms.txt","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/llms.txt","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L223","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Privacy","Label implies navigation; individual expectation review NOT RUN","/privacy","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/privacy","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L225","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Terms","Label implies navigation; individual expectation review NOT RUN","/terms","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/terms","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L227","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Disclosures","Label implies navigation; individual expectation review NOT RUN","/disclosures","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/disclosures","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L233","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","button; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Install","Label implies interaction; individual expectation review NOT RUN","Control observed; action contract NOT RUN","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","NOT VERIFIED","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L234","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","button; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Dismiss","Label implies interaction; individual expectation review NOT RUN","Control observed; action contract NOT RUN","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","NOT VERIFIED","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
