route,family,status,directive_section,roles,notes
/research/support,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/terms,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/security,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/storefront,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/telemedicine,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/terms,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/waitlist,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/,public,EXISTS,8.2,visitor,
/apply,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/login,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/membership,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/research,public,EXISTS,8.2,visitor,
/care,public,EXISTS,8.2,visitor,
/care/eligibility,public,EXISTS,8.2,visitor,
/care/consent,public,EXISTS,8.2,visitor,
/partners,public,EXISTS,8.2,visitor,
/partners/apply,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/partners/login,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/supplier/login,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/clinical/login,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/admin,public,EXISTS,8.2,visitor,
/support,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/privacy,public,EXISTS,8.2,visitor,
/terms,public,EXISTS,8.2,visitor,
/accessibility,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/refunds,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/shipping,public,TARGET-NEW,8.2,visitor,directive target; Codex to build or map to an existing canonical route
/member,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/home,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/plans,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/research,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/catalog,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/products/:slug,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/cart,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/checkout,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/orders,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/orders/:id,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/care,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/care/cases/:id,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/labs,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/appointments,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/messages,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/notifications,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/support,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/profile,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/member/security,member,TARGET-NEW,8.3,member,directive target; Codex to build or map to an existing canonical route
/partner,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/apply,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/home,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/profile,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/links,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/leads,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/clients,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/orders,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/commissions,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/payouts,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/support,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/organization,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/sellers,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/partner/settings,partner,TARGET-NEW,8.4,partner roles,directive target; Codex to build or map to an existing canonical route
/supplier,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/home,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/orders,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/orders/:id,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/inventory,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/lots,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/coa,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/qa,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/packing,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/shipments,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/exceptions,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/returns,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/team,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/notifications,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/supplier/documents,supplier,TARGET-NEW,8.5,supplier roles,directive target; Codex to build or map to an existing canonical route
/clinical,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/home,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/cases,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/cases/:id,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/intake,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/eligibility,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/consents,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/schedule,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/appointments,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/orders,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/labs,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/pharmacy,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/protocols,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/administrations,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/follow-up,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/escalations,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/clinical/settings,clinical,TARGET-NEW,8.6,clinical roles,directive target; Codex to build or map to an existing canonical route
/admin,admin,EXISTS,8.7,admin roles,
/admin/research,admin,EXISTS,8.7,admin roles,
/admin/mastertracker,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/members,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/applications,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/partners,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/affiliates,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/organizations,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/suppliers,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/clinical,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/products,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/catalog,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/pricing,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/inventory,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/lots,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/coa,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/orders,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/payments,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/refunds,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/commissions,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/payouts,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/notifications,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/support,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/documents,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/audit,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/settings,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
/admin/release,admin,TARGET-NEW,8.7,admin roles,directive target; Codex to build or map to an existing canonical route
