claim_id,claim,intended_page,source,evidence_level,status,final_approved_wording,owner
C-032,In-clinic inventory / wholesale available,"/practices",Transcript,Stakeholder,do not publish,"Under review — ask us (inquiry only)",Samuel
C-033,Support is available 24/7 (chatbot),any,Transcript,Stakeholder,do not publish,"(none)",Samuel
C-034,Dosing and reconstitution instructions provided with products,product pages,Transcript question,Stakeholder,do not publish,"We don't provide dosing instructions for research products.",Counsel
C-035,Xenios Technologies Inc. is the company you contract with,"footer, policies",Privacy/Terms,Source inspection,verified,"© Xenios Technologies, Inc.",—
C-036,We never approve an account through an inquiry,"practice/partner/supplier confirmations",PartnershipInquiryForm copy,Source inspection,verified,"Sending an inquiry doesn't create an account or approve anything.",—
C-037,Supplier access is by invitation after qualification,/suppliers,SupplierPartnershipPage.tsx:48,Source inspection,verified,"Supplier access is by invitation, after we review your documentation.",—
C-038,Membership costs $50 at activation then $25 every 30 days,member pages,MemberArea.tsx:88,Source inspection; billing disabled,do not publish,"Remove",Samuel
C-039,Formal Research membership applications are not open,"/research/apply",Apply.tsx:15-33,Source inspection,verified,"Membership applications aren't open. You can still order research products or start Care.",—
C-040,Payment methods accepted (Zelle/Venmo/Cash App/PayPal/Apple Pay/ACH/wire),payment instructions (after order),Production gate 2026-09-23 (thread archive),Production observation (reported) + source,verified,"Shown only on the payment step, not in marketing",—
C-041,Emails confirm every accepted request,all confirmations,Outbox + direct sends; /api/contact courtesy may fail,Source inspection,verified with exception,"'We've also emailed you a copy.' only when autoReplySent=true; otherwise 'We couldn't send a copy to your email; keep this reference.'",—
C-042,Referral partners must disclose their relationship,"/partners, partner resources",Affiliate compliance pages,Source inspection,counsel required,"PENDING counsel",Counsel
